45 	44 	46 	47 	42 	43 	41 	40 	37 	36 	38 	39 	34 	35 	33 	32 	53 	52 	54 	55 	50 	51 	49 	48 	61 	60 	62 	63 	58 	59 	57 	56 	21 	20 	22 	23 	18 	19 	17 	16 	29 	28 	30 	31 	26 	27 	25 	24 	13 	12 	14 	15 	10 	11 	9 	8 	5 	4 	6 	7 	2 	3 	1 	0 	
45 	44 	46 	47 	42 	43 	41 	40 	37 	36 	38 	39 	34 	35 	33 	32 	53 	52 	54 	55 	50 	51 	49 	48 	61 	60 	62 	63 	58 	59 	57 	56 	5 	4 	6 	7 	2 	3 	1 	0 	29 	28 	30 	31 	26 	27 	25 	24 	13 	12 	14 	15 	10 	11 	9 	8 	21 	20 	22 	23 	18 	19 	17 	16 	
61 	60 	62 	63 	58 	59 	57 	56 	37 	36 	38 	39 	34 	35 	33 	32 	53 	52 	54 	55 	50 	51 	49 	48 	45 	44 	46 	47 	42 	43 	41 	40 	5 	4 	6 	7 	2 	3 	1 	0 	29 	28 	30 	31 	26 	27 	25 	24 	13 	12 	14 	15 	10 	11 	9 	8 	21 	20 	22 	23 	18 	19 	17 	16 	
45 	44 	46 	47 	42 	43 	41 	40 	37 	36 	38 	39 	34 	35 	33 	32 	21 	20 	22 	23 	18 	19 	17 	16 	29 	28 	30 	31 	26 	27 	25 	24 	53 	52 	54 	55 	50 	51 	49 	48 	61 	60 	62 	63 	58 	59 	57 	56 	13 	12 	14 	15 	10 	11 	9 	8 	5 	4 	6 	7 	2 	3 	1 	0 	
45 	44 	46 	47 	42 	43 	41 	40 	37 	36 	38 	39 	34 	35 	33 	32 	5 	4 	6 	7 	2 	3 	1 	0 	29 	28 	30 	31 	26 	27 	25 	24 	53 	52 	54 	55 	50 	51 	49 	48 	61 	60 	62 	63 	58 	59 	57 	56 	13 	12 	14 	15 	10 	11 	9 	8 	21 	20 	22 	23 	18 	19 	17 	16 	
61 	60 	62 	63 	58 	59 	57 	56 	37 	36 	38 	39 	34 	35 	33 	32 	5 	4 	6 	7 	2 	3 	1 	0 	29 	28 	30 	31 	26 	27 	25 	24 	53 	52 	54 	55 	50 	51 	49 	48 	45 	44 	46 	47 	42 	43 	41 	40 	13 	12 	14 	15 	10 	11 	9 	8 	21 	20 	22 	23 	18 	19 	17 	16 	
29 	28 	30 	31 	26 	27 	25 	24 	37 	36 	38 	39 	34 	35 	33 	32 	21 	20 	22 	23 	18 	19 	17 	16 	45 	44 	46 	47 	42 	43 	41 	40 	5 	4 	6 	7 	2 	3 	1 	0 	61 	60 	62 	63 	58 	59 	57 	56 	13 	12 	14 	15 	10 	11 	9 	8 	53 	52 	54 	55 	50 	51 	49 	48 	
29 	28 	30 	31 	26 	27 	25 	24 	37 	36 	38 	39 	34 	35 	33 	32 	5 	4 	6 	7 	2 	3 	1 	0 	45 	44 	46 	47 	42 	43 	41 	40 	21 	20 	22 	23 	18 	19 	17 	16 	61 	60 	62 	63 	58 	59 	57 	56 	13 	12 	14 	15 	10 	11 	9 	8 	53 	52 	54 	55 	50 	51 	49 	48 	
29 	28 	30 	31 	26 	27 	25 	24 	37 	36 	38 	39 	34 	35 	33 	32 	5 	4 	6 	7 	2 	3 	1 	0 	61 	60 	62 	63 	58 	59 	57 	56 	21 	20 	22 	23 	18 	19 	17 	16 	45 	44 	46 	47 	42 	43 	41 	40 	13 	12 	14 	15 	10 	11 	9 	8 	53 	52 	54 	55 	50 	51 	49 	48 	
47 	44 	46 	45 	42 	43 	41 	40 	39 	36 	38 	37 	34 	35 	33 	32 	55 	52 	54 	53 	50 	51 	49 	48 	63 	60 	62 	61 	58 	59 	57 	56 	23 	20 	22 	21 	18 	19 	17 	16 	31 	28 	30 	29 	26 	27 	25 	24 	15 	12 	14 	13 	10 	11 	9 	8 	7 	4 	6 	5 	2 	3 	1 	0 	
47 	44 	46 	45 	42 	43 	41 	40 	39 	36 	38 	37 	34 	35 	33 	32 	55 	52 	54 	53 	50 	51 	49 	48 	63 	60 	62 	61 	58 	59 	57 	56 	7 	4 	6 	5 	2 	3 	1 	0 	31 	28 	30 	29 	26 	27 	25 	24 	15 	12 	14 	13 	10 	11 	9 	8 	23 	20 	22 	21 	18 	19 	17 	16 	
63 	60 	62 	61 	58 	59 	57 	56 	39 	36 	38 	37 	34 	35 	33 	32 	55 	52 	54 	53 	50 	51 	49 	48 	47 	44 	46 	45 	42 	43 	41 	40 	7 	4 	6 	5 	2 	3 	1 	0 	31 	28 	30 	29 	26 	27 	25 	24 	15 	12 	14 	13 	10 	11 	9 	8 	23 	20 	22 	21 	18 	19 	17 	16 	
47 	44 	46 	45 	42 	43 	41 	40 	39 	36 	38 	37 	34 	35 	33 	32 	23 	20 	22 	21 	18 	19 	17 	16 	31 	28 	30 	29 	26 	27 	25 	24 	55 	52 	54 	53 	50 	51 	49 	48 	63 	60 	62 	61 	58 	59 	57 	56 	15 	12 	14 	13 	10 	11 	9 	8 	7 	4 	6 	5 	2 	3 	1 	0 	
47 	44 	46 	45 	42 	43 	41 	40 	39 	36 	38 	37 	34 	35 	33 	32 	7 	4 	6 	5 	2 	3 	1 	0 	31 	28 	30 	29 	26 	27 	25 	24 	55 	52 	54 	53 	50 	51 	49 	48 	63 	60 	62 	61 	58 	59 	57 	56 	15 	12 	14 	13 	10 	11 	9 	8 	23 	20 	22 	21 	18 	19 	17 	16 	
63 	60 	62 	61 	58 	59 	57 	56 	39 	36 	38 	37 	34 	35 	33 	32 	7 	4 	6 	5 	2 	3 	1 	0 	31 	28 	30 	29 	26 	27 	25 	24 	55 	52 	54 	53 	50 	51 	49 	48 	47 	44 	46 	45 	42 	43 	41 	40 	15 	12 	14 	13 	10 	11 	9 	8 	23 	20 	22 	21 	18 	19 	17 	16 	
